SaleID,CustomerID,CarModel,FuelType,City,SaleDate,Price,SalesPersonID
20001,100000,Baleno,CNG,Mumbai,3/10/2023,1539002,49
20002,100001,XUV300,Electric,Pune,8/19/2023,696837,32
20003,100002,Verna,Electric,Chennai,1/15/2023,504416,45
20004,100003,Venue,Diesel,Chennai,8/17/2023,714385,21
20005,100004,Swift,Petrol,Hyderabad,1/16/2023,1635424,1
20006,100005,i20,Electric,Hyderabad,7/15/2023,560902,34
20007,100006,XUV300,Electric,Chennai,4/24/2023,988813,23
20008,100007,i20,Electric,Delhi,4/29/2023,545067,27
20009,100008,Baleno,Diesel,Hyderabad,10/12/2023,1121575,8
20010,100009,Verna,Diesel,Delhi,6/20/2023,1095925,38
20011,100010,Verna,Petrol,Bangalore,9/13/2023,1009062,48
20012,100011,Verna,Diesel,Delhi,7/26/2023,1650914,45
20013,100012,City,Petrol,Bangalore,12/12/2023,1566247,7
20014,100013,Verna,CNG,Bangalore,3/25/2023,562023,31
20015,100014,Venue,Electric,Hyderabad,1/23/2023,857248,11
20016,100015,i20,Petrol,Pune,9/15/2023,1631659,36
20017,100016,Verna,CNG,Chennai,4/29/2023,1240869,30
20018,100017,Swift,Electric,Hyderabad,5/18/2023,1574790,9
20019,100018,i20,Electric,Mumbai,9/23/2023,1508943,24
20020,100019,i20,Electric,Bangalore,10/19/2023,1248242,27
20021,100020,Swift,CNG,Bangalore,6/27/2023,1757987,2
20022,100021,Creta,Diesel,Mumbai,4/28/2023,1655591,17
20023,100022,Baleno,Petrol,Mumbai,1/17/2023,1450007,1
20024,100023,i20,CNG,Mumbai,5/24/2023,887155,23
20025,100024,Baleno,Diesel,Pune,5/29/2023,1035226,34
20026,100025,Venue,CNG,Bangalore,3/28/2023,1175286,32
20027,100026,Baleno,Petrol,Delhi,8/31/2023,1310669,22
20028,100027,i20,CNG,Mumbai,8/4/2023,1031540,47
20029,100028,i20,Electric,Mumbai,9/19/2023,972643,2
20030,100029,Creta,Petrol,Hyderabad,7/23/2023,836021,29
20031,100030,Verna,Diesel,Hyderabad,12/27/2023,1583387,29
20032,100031,Swift,Electric,Hyderabad,4/25/2023,1707636,21
20033,100032,Verna,Petrol,Hyderabad,12/4/2023,1126222,9
20034,100033,Swift,CNG,Mumbai,4/19/2023,660319,20
20035,100034,Creta,Electric,Chennai,6/2/2023,1029233,9
20036,100035,Swift,Diesel,Chennai,1/5/2023,1466477,11
20037,100036,Swift,Electric,Pune,12/27/2023,1227566,7
20038,100037,Verna,Diesel,Bangalore,4/16/2023,718993,43
20039,100038,Venue,Electric,Mumbai,7/19/2023,1182299,40
20040,100039,Venue,Petrol,Pune,7/25/2023,921219,21
20041,100040,Creta,CNG,Bangalore,10/16/2023,946755,18
20042,100041,Baleno,Electric,Chennai,12/12/2023,1221105,44
20043,100042,XUV300,Diesel,Mumbai,10/1/2023,584725,6
20044,100043,Creta,Diesel,Chennai,3/10/2023,946626,18
20045,100044,Venue,CNG,Delhi,6/20/2023,1213629,8
20046,100045,i20,Electric,Pune,5/30/2023,1716258,36
20047,100046,City,Petrol,Bangalore,2/23/2023,653497,25
20048,100047,Creta,CNG,Mumbai,3/17/2023,1790138,38
