Sale ID,Customer ID,CarModel,FuelType,City,SaleDate,Price,SalesPersonID,abc
40001,100000,Creta,Diesel,Bangalore,4/28/2025,1578732,25,
40002,100001,i20,Diesel,Delhi,9/19/2025,1246909,5,
40003,100002,Baleno,Electric,Pune,5/28/2025,1490661,12,
40004,100003,Verna,Petrol,Hyderabad,9/5/2025," $887,475 ",20,
40005,100004,City,Electric,Bangalore,9/6/2025," $1,595,008 ",16,
40006,100005,XUV300,Diesel,Chennai,2/10/2025," $843,483 ",31,
40007,100006,City,Diesel,Delhi,9/3/2025," $685,525 ",26,
40008,100007,Creta,Electric,Hyderabad,2/9/2025," $1,493,648 ",6,
40009,100008,Verna,Petrol,Mumbai,2/2/2025," $993,498 ",1,
40011,100010,City,Electric,Chennai,," $1,282,052 ",2,
40012,100011,Venue,CNG,Chennai,," $1,458,981 ",16,
40013,100012,Creta,Electric,Delhi,5/18/2025,0,37,
40014,100013,Baleno,Petrol,Delhi,1/1/2025,750812,30,
40015,100014,Verna,Diesel,Hyderabad,3/12/2025,1262978,36,
40016,100015,i20,Diesel,Hyderabad,1/22/2025,692304,24,
40017,100016,Venue,Diesel,Pune,10/10/2025,1702310,14,
40018,100017,i20,Petrol,Pune,9/3/2025,628214,50,
40019,100018,Creta,Electric,Chennai,3/15/2025,682953,30,
40018,100017,i20,Petrol,Pune,9/3/2025,628214,50,
40019,100018,Creta,Electric,Chennai,3/15/2025," $682,953 ",30,
40020,100019,Baleno,CNG,Hyderabad,7/17/2025," $1,412,086 ",35,
40021,100020,Creta,CNG,Chennai,6/17/2025," $1,656,576 ",40,
,,,,,,,,
40022,100021,Creta,Petrol,Mumbai,1/9/2025,530190,46,
40023,100022,Baleno,CNG,Bangalore,3/3/2025,739038,31,
40024,100023,Swift,Diesel,Delhi,9/21/2025,1588710,20,
40025,100024,Verna,CNG,Pune,2/13/2025,1648446,40,
40026,100025,i20,Electric,Chennai,2/11/2025,1233041,38,
40027,100026,Creta,Petrol,Pune,1/28/2025,1531158,15,
40028,100027,Swift,Petrol,Delhi,3/26/2025,930900,2,
40029,100028,Venue,Diesel,Chennai,12/16/2025,1694515,40,
