SaleID,CustomerID,CarModel,FuelType,City,SaleDate,Price,SalesPersonID,SaleYear
20001,100000,Baleno,CNG,Mumbai,2023-03-10,1539002,49,2023
20002,100001,XUV300,Electric,Pune,2023-08-19,696837,32,2023
20003,100002,Verna,Electric,Chennai,2023-01-15,504416,45,2023
20004,100003,Venue,Diesel,Chennai,2023-08-17,714385,21,2023
20005,100004,Swift,Petrol,Hyderabad,2023-01-16,1635424,1,2023
20006,100005,i20,Electric,Hyderabad,2023-07-15,560902,34,2023
20007,100006,XUV300,Electric,Chennai,2023-04-24,988813,23,2023
20008,100007,i20,Electric,Delhi,2023-04-29,545067,27,2023
20009,100008,Baleno,Diesel,Hyderabad,2023-10-12,1121575,8,2023
20010,100009,Verna,Diesel,Delhi,2023-06-20,1095925,38,2023
20011,100010,Verna,Petrol,Bangalore,2023-09-13,1009062,48,2023
20012,100011,Verna,Diesel,Delhi,2023-07-26,1650914,45,2023
20013,100012,City,Petrol,Bangalore,2023-12-12,1566247,7,2023
20014,100013,Verna,CNG,Bangalore,2023-03-25,562023,31,2023
20015,100014,Venue,Electric,Hyderabad,2023-01-23,857248,11,2023
20016,100015,i20,Petrol,Pune,2023-09-15,1631659,36,2023
20017,100016,Verna,CNG,Chennai,2023-04-29,1240869,30,2023
20018,100017,Swift,Electric,Hyderabad,2023-05-18,1574790,9,2023
20019,100018,i20,Electric,Mumbai,2023-09-23,1508943,24,2023
20020,100019,i20,Electric,Bangalore,2023-10-19,1248242,27,2023
20021,100020,Swift,CNG,Bangalore,2023-06-27,1757987,2,2023
20022,100021,Creta,Diesel,Mumbai,2023-04-28,1655591,17,2023
20023,100022,Baleno,Petrol,Mumbai,2023-01-17,1450007,1,2023
20024,100023,i20,CNG,Mumbai,2023-05-24,887155,23,2023
20025,100024,Baleno,Diesel,Pune,2023-05-29,1035226,34,2023
20026,100025,Venue,CNG,Bangalore,2023-03-28,1175286,32,2023
20027,100026,Baleno,Petrol,Delhi,2023-08-31,1310669,22,2023
20028,100027,i20,CNG,Mumbai,2023-08-04,1031540,47,2023
20029,100028,i20,Electric,Mumbai,2023-09-19,972643,2,2023
20030,100029,Creta,Petrol,Hyderabad,2023-07-23,836021,29,2023
20031,100030,Verna,Diesel,Hyderabad,2023-12-27,1583387,29,2023
20032,100031,Swift,Electric,Hyderabad,2023-04-25,1707636,21,2023
20033,100032,Verna,Petrol,Hyderabad,2023-12-04,1126222,9,2023
20034,100033,Swift,CNG,Mumbai,2023-04-19,660319,20,2023
20035,100034,Creta,Electric,Chennai,2023-06-02,1029233,9,2023
20036,100035,Swift,Diesel,Chennai,2023-01-05,1466477,11,2023
20037,100036,Swift,Electric,Pune,2023-12-27,1227566,7,2023
20038,100037,Verna,Diesel,Bangalore,2023-04-16,718993,43,2023
20039,100038,Venue,Electric,Mumbai,2023-07-19,1182299,40,2023
20040,100039,Venue,Petrol,Pune,2023-07-25,921219,21,2023
20041,100040,Creta,CNG,Bangalore,2023-10-16,946755,18,2023
20042,100041,Baleno,Electric,Chennai,2023-12-12,1221105,44,2023
20043,100042,XUV300,Diesel,Mumbai,2023-10-01,584725,6,2023
20044,100043,Creta,Diesel,Chennai,2023-03-10,946626,18,2023
20045,100044,Venue,CNG,Delhi,2023-06-20,1213629,8,2023
20046,100045,i20,Electric,Pune,2023-05-30,1716258,36,2023
20047,100046,City,Petrol,Bangalore,2023-02-23,653497,25,2023
20048,100047,Creta,CNG,Mumbai,2023-03-17,1790138,38,2023
20049,100048,Baleno,Diesel,Chennai,2023-07-13,671428,18,2023
20050,100049,Venue,Petrol,Bangalore,2023-07-06,1081294,7,2023
20051,100050,Venue,Petrol,Chennai,2023-01-24,530509,6,2023
20052,100051,Baleno,Petrol,Pune,2023-07-31,1002547,38,2023
20053,100052,Creta,Petrol,Bangalore,2023-08-04,851028,44,2023
20054,100053,Creta,Petrol,Bangalore,2023-05-04,1293304,35,2023
20055,100054,Venue,Electric,Delhi,2023-05-31,709986,14,2023
20056,100055,City,Petrol,Mumbai,2023-11-30,522032,19,2023
20057,100056,City,Electric,Bangalore,2023-11-02,1156997,26,2023
20058,100057,Baleno,CNG,Chennai,2023-02-02,1456003,8,2023
20059,100058,i20,Electric,Hyderabad,2023-05-09,1246223,17,2023
20060,100059,i20,CNG,Pune,2023-04-04,1016698,24,2023
20061,100060,Venue,Petrol,Bangalore,2023-02-11,689768,42,2023
20062,100061,City,Diesel,Bangalore,2023-10-22,1143373,3,2023
20063,100062,Creta,CNG,Chennai,2023-06-17,1135037,16,2023
20064,100063,Baleno,Petrol,Pune,2023-06-21,961699,2,2023
20065,100064,Verna,Petrol,Delhi,2023-05-05,1655960,5,2023
20066,100065,Swift,Petrol,Delhi,2023-02-08,1253278,32,2023
20067,100066,Creta,Petrol,Chennai,2023-08-29,1188062,5,2023
20068,100067,Creta,Diesel,Pune,2023-09-18,796827,21,2023
20069,100068,Baleno,CNG,Pune,2023-06-06,933566,10,2023
20070,100069,Swift,CNG,Chennai,2023-10-07,1659623,48,2023
20071,100070,i20,Diesel,Delhi,2023-12-20,1407307,35,2023
20072,100071,Swift,Diesel,Delhi,2023-03-22,635086,44,2023
20073,100072,Verna,CNG,Chennai,2023-08-17,1421486,35,2023
20074,100073,Swift,Electric,Delhi,2023-08-21,859698,17,2023
20075,100074,Swift,Electric,Chennai,2023-09-06,539659,4,2023
20076,100075,City,Diesel,Chennai,2023-12-21,762414,9,2023
20077,100076,Venue,Electric,Chennai,2023-05-13,1341130,12,2023
20078,100077,Baleno,Diesel,Bangalore,2023-11-10,515680,12,2023
20079,100078,City,Electric,Hyderabad,2023-09-28,973391,16,2023
20080,100079,XUV300,Electric,Pune,2023-06-10,1364542,22,2023
20081,100080,Venue,Diesel,Mumbai,2023-10-14,650054,49,2023
20082,100081,City,Diesel,Chennai,2023-09-19,927492,20,2023
20083,100082,Venue,CNG,Pune,2023-06-02,1474710,39,2023
20084,100083,Baleno,Electric,Pune,2023-02-13,826692,17,2023
20085,100084,i20,Petrol,Bangalore,2023-08-07,1325454,46,2023
20086,100085,City,Electric,Chennai,2023-11-23,845606,35,2023
20087,100086,Baleno,CNG,Hyderabad,2023-01-21,711909,18,2023
20088,100087,Creta,Petrol,Bangalore,2023-02-12,1005393,25,2023
20089,100088,Verna,Diesel,Delhi,2023-08-10,1418823,9,2023
20090,100089,XUV300,Diesel,Mumbai,2023-11-15,1404418,39,2023
20091,100090,Verna,Petrol,Hyderabad,2023-10-01,1119657,18,2023
20092,100091,Verna,Petrol,Pune,2023-05-08,1608057,29,2023
20093,100092,Swift,Petrol,Hyderabad,2023-10-24,1770093,16,2023
20094,100093,i20,Diesel,Delhi,2023-05-14,811239,35,2023
20095,100094,Venue,CNG,Chennai,2023-04-13,1026138,44,2023
20096,100095,Creta,CNG,Bangalore,2023-08-17,1380733,8,2023
20097,100096,Verna,Diesel,Delhi,2023-04-17,726784,2,2023
20098,100097,Swift,CNG,Hyderabad,2023-03-02,786458,5,2023
20099,100098,City,CNG,Bangalore,2023-09-14,1554935,44,2023
20100,100099,City,Petrol,Mumbai,2023-07-02,1427600,46,2023
20101,100100,City,CNG,Chennai,2023-08-19,1337608,22,2023
20102,100101,XUV300,Petrol,Hyderabad,2023-12-16,1291796,25,2023
20103,100102,Swift,CNG,Hyderabad,2023-04-15,1754441,47,2023
20104,100103,i20,Electric,Chennai,2023-09-19,1584044,27,2023
20105,100104,Venue,Diesel,Bangalore,2023-12-31,1613495,13,2023
20106,100105,Swift,Electric,Chennai,2023-07-04,1393113,26,2023
20107,100106,Baleno,Electric,Hyderabad,2023-06-22,1019320,41,2023
20108,100107,Venue,Petrol,Bangalore,2023-11-29,827333,41,2023
20109,100108,Venue,Diesel,Mumbai,2023-07-23,1769746,1,2023
20110,100109,Venue,Electric,Hyderabad,2023-06-28,1641368,20,2023
20111,100110,XUV300,CNG,Bangalore,2023-03-19,855722,30,2023
20112,100111,Swift,CNG,Chennai,2023-09-19,706842,48,2023
20113,100112,Verna,Petrol,Delhi,2023-10-30,640506,43,2023
20114,100113,Swift,Diesel,Chennai,2023-08-15,838956,45,2023
20115,100114,Verna,CNG,Chennai,2023-02-17,1138379,14,2023
20116,100115,i20,Diesel,Delhi,2023-09-28,1064279,5,2023
20117,100116,City,Electric,Chennai,2023-02-08,1669478,48,2023
20118,100117,Creta,CNG,Hyderabad,2023-01-26,1666524,18,2023
20119,100118,i20,Electric,Chennai,2023-07-02,1338264,12,2023
20120,100119,Venue,CNG,Hyderabad,2023-09-05,966235,17,2023
20121,100120,i20,Petrol,Chennai,2023-11-09,1344310,21,2023
20122,100121,i20,CNG,Pune,2023-08-10,652126,41,2023
20123,100122,XUV300,Diesel,Chennai,2023-03-26,1049420,30,2023
20124,100123,Creta,Diesel,Pune,2023-09-27,1424175,24,2023
20125,100124,Verna,Diesel,Mumbai,2023-06-08,932410,46,2023
20126,100125,Venue,Petrol,Mumbai,2023-12-15,977353,26,2023
20127,100126,XUV300,Petrol,Pune,2023-06-14,594331,4,2023
20128,100127,Swift,Diesel,Hyderabad,2023-11-02,572799,32,2023
20129,100128,XUV300,CNG,Hyderabad,2023-12-27,1075824,8,2023
20130,100129,Creta,Petrol,Pune,2023-11-10,1338243,15,2023
20131,100130,XUV300,Electric,Pune,2023-09-11,985946,16,2023
20132,100131,XUV300,Electric,Pune,2023-05-26,1447277,46,2023
20133,100132,City,Electric,Chennai,2023-05-13,732669,14,2023
20134,100133,Swift,Petrol,Mumbai,2023-02-10,1507468,21,2023
20135,100134,Venue,Diesel,Bangalore,2023-07-16,835686,49,2023
20136,100135,Creta,Petrol,Mumbai,2023-11-27,1312167,10,2023
20137,100136,Swift,Electric,Delhi,2023-12-07,772585,6,2023
20138,100137,Venue,Petrol,Mumbai,2023-08-25,1626129,4,2023
20139,100138,Creta,Petrol,Delhi,2023-09-26,746282,28,2023
20140,100139,i20,Petrol,Bangalore,2023-02-16,773283,48,2023
20141,100140,i20,Electric,Bangalore,2023-05-23,1191651,41,2023
20142,100141,Venue,Diesel,Pune,2023-05-18,626215,38,2023
20143,100142,Creta,CNG,Bangalore,2023-10-30,1769516,45,2023
20144,100143,Swift,CNG,Chennai,2023-10-14,1365389,35,2023
